dataset_name,source_path,status,primary_modality,secondary_modalities,file_count,video_count,image_count,csv_count,json_count,mat_count,npy_count,annotation_file_count,has_labels,label_source,known_exercises,likely_exercise_family,usable_for_video_pose_pipeline,usable_for_skeleton_pipeline,usable_for_sensor_pipeline,usable_for_image_pose_pipeline,usable_for_tabular_feature_pipeline,usable_for_current_app,usable_for_current_squat_mvp,requires_adapter,requires_manual_label_mapping,priority,risks_or_limitations,notes
custom_videos,data/raw/custom_videos,ready,video,,24,24,0,0,0,0,0,1,True,folder/metadata,bodyweight_squat,lower_body,True,False,False,False,False,True,True,False,False,high,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",
dyntherapy,data/raw/dyntherapy,needs_manual_mapping,skeleton_3d,,1,0,0,1,0,0,0,1,True,folder/metadata,unknown,unknown,False,True,False,False,False,False,False,True,True,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",
kimore,data/raw/kimore,needs_manual_mapping,skeleton_3d,,1,0,0,0,0,0,0,0,False,unknown,unknown,unknown,False,True,False,False,False,False,False,True,True,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",
Physical-therapy exercises,data/raw/Pyhsical-therapy exercises,missing_or_incomplete,missing_or_incomplete,,0,0,0,0,0,0,0,0,False,unknown,unknown,unknown,False,False,False,False,False,False,False,False,False,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",Folder contains no dataset files beyond placeholders. Canonical name mapped to existing folder `Pyhsical-therapy exercises`.
rehab24_6,data/raw/rehab24_6,needs_manual_mapping,mixed,,914,130,0,1,0,0,780,1,True,folder/metadata,unknown,unknown,False,False,False,False,False,False,False,True,True,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",Do not feed into the squat video pipeline without a dataset-specific adapter.
squat_kaggle,data/raw/squat_kaggle,usable_with_adapter,unknown,,2,0,0,1,0,0,0,2,True,folder/metadata,bodyweight_squat,lower_body,False,False,False,False,False,False,False,True,False,high,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",Do not feed into the squat video pipeline without a dataset-specific adapter.
uci_physical_therapy_exercises,data/raw/uci_physical_therapy_exercises,needs_manual_mapping,sensor_timeseries,,441,0,0,0,0,0,0,20,True,folder/metadata,unknown,unknown,False,False,True,False,False,False,False,True,True,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",Do not feed into the squat video pipeline without a dataset-specific adapter.
uco_physical_rehab,data/raw/uco_physical_rehab,missing_or_incomplete,missing_or_incomplete,,0,0,0,0,0,0,0,0,False,unknown,unknown,unknown,False,False,False,False,False,False,False,False,False,low,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",Folder contains no dataset files beyond placeholders.
ui_prmd,data/raw/ui_prmd,needs_manual_mapping,skeleton_3d,,4,0,0,2,0,0,0,2,True,folder/metadata,unknown,unknown,False,True,False,False,False,False,False,True,True,medium,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",
zenodo_squat_dataset,data/raw/zenodo_squat_dataset,needs_manual_mapping,image,,3806,0,3806,0,0,0,0,0,False,unknown,unknown,unknown,False,False,False,True,False,False,False,False,True,high,"Do not train until modality, labels, participants, licensing, and split leakage are reviewed.",
